ID,Пол,Возраст,День недели,Потраченная сумма,Время покупки
1,Мужской,72,Среда,2849.47,10:54:00
2,Женский,26,Четверг,4899.25,09:48:00
3,Мужской,42,Понедельник,868.21,11:02:00
4,Мужской,38,Понедельник,3516.25,11:11:00
5,Мужской,22,Суббота,2949.76,09:04:00
6,Женский,55,Четверг,2953.07,15:53:00
7,Мужской,44,Четверг,3503.47,21:02:00
8,Мужской,15,Понедельник,4651.6,09:39:00
9,Мужской,78,Среда,3923.78,17:03:00
10,Женский,56,Пятница,327.87,10:07:00
11,Мужской,34,Воскресенье,4271.0,15:31:00
12,Мужской,75,Пятница,1166.43,14:08:00
13,Мужской,19,Четверг,1915.73,08:42:00
14,Мужской,65,Пятница,2335.58,14:58:00
15,Женский,39,Понедельник,2430.48,16:07:00
16,Мужской,14,Понедельник,2204.14,09:17:00
17,Женский,42,Четверг,4689.9,21:45:00
18,Женский,74,Четверг,3544.79,21:20:00
19,Женский,27,Воскресенье,3174.29,12:29:00
20,Мужской,58,Воскресенье,296.72,19:13:00
21,Женский,20,Суббота,4524.37,19:40:00
22,Мужской,35,Четверг,4551.48,20:38:00
23,Женский,72,Среда,3912.05,20:07:00
24,Женский,68,Пятница,84.79,13:14:00
25,Женский,36,Четверг,333.54,10:47:00
26,Женский,58,Вторник,1164.86,13:38:00
27,Женский,42,Суббота,700.18,11:12:00
28,Женский,10,Вторник,2024.24,15:32:00
29,Женский,30,Понедельник,4616.98,12:42:00
30,Женский,64,Воскресенье,2386.7,13:35:00
31,Мужской,15,Пятница,116.34,14:29:00
32,Мужской,78,Четверг,1449.59,16:44:00
33,Женский,14,Вторник,270.74,11:59:00
34,Женский,12,Пятница,229.62,21:51:00
35,Женский,62,Понедельник,1414.81,16:02:00
36,Мужской,32,Воскресенье,1414.28,18:58:00
37,Женский,62,Среда,3946.28,19:55:00
38,Мужской,46,Суббота,4875.43,17:51:00
39,Мужской,26,Пятница,1887.48,17:14:00
40,Мужской,10,Пятница,2172.99,15:37:00
41,Мужской,60,Среда,4231.71,09:28:00
42,Мужской,54,Пятница,1377.29,18:59:00
43,Женский,13,Понедельник,824.09,09:34:00
44,Женский,71,Понедельник,4272.79,15:31:00
45,Женский,74,Среда,280.18,15:07:00
46,Женский,41,Суббота,3117.51,10:30:00
47,Женский,43,Четверг,2831.86,16:33:00
48,Мужской,48,Вторник,1762.31,14:15:00
49,Женский,35,Четверг,1610.19,08:21:00
50,Женский,43,Пятница,3870.7,13:12:00
51,Мужской,63,Вторник,477.8,21:59:00
52,Женский,12,Среда,1222.08,16:38:00
53,Мужской,59,Среда,3675.62,11:25:00
54,Женский,21,Суббота,2764.19,14:14:00
55,Мужской,74,Вторник,683.54,15:30:00
56,Женский,63,Понедельник,4416.57,18:25:00
57,Женский,14,Вторник,1997.57,21:03:00
58,Мужской,66,Пятница,4147.95,17:54:00
59,Мужской,26,Понедельник,3949.18,10:58:00
60,Мужской,56,Воскресенье,3140.91,11:29:00
61,Мужской,32,Воскресенье,2497.68,16:19:00
62,Мужской,23,Воскресенье,4898.78,15:43:00
63,Мужской,75,Среда,767.58,21:59:00
64,Мужской,60,Вторник,3639.52,10:03:00
65,Мужской,47,Воскресенье,996.39,09:52:00
66,Женский,73,Четверг,1724.4,08:11:00
67,Женский,47,Суббота,1578.06,10:05:00
68,Мужской,59,Четверг,4737.83,17:24:00
69,Женский,39,Воскресенье,4838.41,13:30:00
70,Женский,60,Суббота,955.93,12:42:00
71,Женский,72,Пятница,159.07,10:19:00
72,Женский,61,Четверг,3614.04,14:40:00
73,Мужской,47,Вторник,2119.05,09:36:00
74,Женский,39,Вторник,489.76,16:36:00
75,Мужской,60,Четверг,3434.58,17:28:00
76,Женский,14,Воскресенье,2748.27,09:08:00
77,Женский,38,Вторник,4903.56,09:57:00
78,Женский,13,Пятница,1175.68,08:58:00
79,Мужской,19,Понедельник,2049.69,08:32:00
80,Женский,65,Воскресенье,2735.6,13:17:00
81,Мужской,26,Пятница,3968.91,08:49:00
82,Женский,26,Суббота,2766.75,16:08:00
83,Мужской,78,Пятница,3083.86,08:18:00
84,Женский,43,Воскресенье,1169.43,20:05:00
85,Мужской,15,Суббота,4242.25,11:16:00
86,Мужской,62,Воскресенье,2171.72,15:29:00
87,Женский,75,Вторник,747.75,17:18:00
88,Мужской,52,Понедельник,3337.73,19:18:00
89,Женский,32,Воскресенье,1119.65,15:31:00
90,Женский,64,Воскресенье,532.93,12:48:00
91,Женский,25,Вторник,4316.84,10:20:00
92,Женский,17,Среда,2327.8,09:23:00
93,Женский,13,Вторник,3758.95,19:33:00
94,Женский,13,Суббота,1488.41,14:30:00
95,Женский,65,Вторник,3945.5,17:50:00
96,Женский,34,Вторник,604.08,11:34:00
97,Женский,76,Понедельник,1812.07,16:45:00
98,Женский,76,Вторник,4891.41,11:34:00
99,Женский,36,Воскресенье,3980.25,14:42:00
100,Мужской,41,Понедельник,2511.42,10:07:00
101,Мужской,59,Четверг,1731.9,21:41:00
102,Женский,70,Среда,4367.07,15:56:00
103,Женский,60,Понедельник,2747.0,20:39:00
104,Женский,28,Суббота,3804.2,14:43:00
105,Женский,30,Четверг,3782.83,08:28:00
106,Женский,14,Понедельник,138.83,21:11:00
107,Женский,51,Понедельник,674.96,13:37:00
108,Женский,70,Среда,3315.17,21:50:00
109,Женский,31,Воскресенье,850.02,19:53:00
110,Мужской,30,Суббота,1314.69,14:00:00
111,Женский,79,Пятница,4735.86,17:28:00
112,Мужской,10,Пятница,2822.9,14:31:00
113,Женский,14,Понедельник,3766.11,11:37:00
114,Женский,21,Вторник,2812.0,17:33:00
115,Мужской,55,Суббота,2784.94,19:08:00
116,Женский,43,Четверг,516.05,11:21:00
117,Мужской,58,Вторник,1751.13,08:16:00
118,Женский,54,Вторник,1448.03,13:21:00
119,Женский,36,Суббота,1984.11,16:37:00
120,Мужской,35,Воскресенье,4001.8,17:29:00
121,Женский,56,Понедельник,1891.07,13:24:00
122,Мужской,65,Понедельник,2285.9,14:51:00
123,Женский,72,Понедельник,2017.04,13:17:00
124,Мужской,57,Понедельник,512.37,19:20:00
125,Мужской,70,Пятница,2233.31,09:21:00
126,Женский,35,Понедельник,1018.27,15:53:00
127,Женский,45,Пятница,974.28,15:47:00
128,Мужской,10,Пятница,515.48,15:04:00
129,Женский,17,Воскресенье,1815.52,20:10:00
130,Женский,61,Понедельник,3799.54,19:28:00
131,Женский,56,Среда,1418.39,11:23:00
132,Мужской,65,Четверг,1596.13,17:42:00
133,Мужской,23,Вторник,3231.24,14:26:00
134,Мужской,37,Пятница,1019.41,20:57:00
135,Мужской,11,Суббота,4489.94,09:37:00
136,Мужской,35,Суббота,2624.94,13:44:00
137,Мужской,23,Четверг,2265.63,21:22:00
138,Мужской,68,Суббота,2811.21,11:27:00
139,Мужской,65,Среда,871.87,16:33:00
140,Мужской,16,Суббота,3086.69,18:35:00
141,Женский,12,Вторник,1847.35,21:11:00
142,Мужской,32,Вторник,4491.07,17:45:00
143,Женский,27,Пятница,885.83,10:45:00
144,Женский,47,Понедельник,2559.9,08:21:00
145,Женский,24,Воскресенье,3010.66,10:33:00
146,Мужской,73,Среда,215.25,15:18:00
147,Мужской,37,Пятница,1850.28,12:54:00
148,Мужской,48,Среда,3676.54,11:38:00
149,Мужской,66,Понедельник,4110.87,19:08:00
150,Женский,26,Суббота,1600.15,16:14:00
151,Мужской,53,Суббота,4003.04,11:49:00
152,Мужской,34,Воскресенье,4840.39,08:19:00
153,Мужской,26,Понедельник,4291.53,17:12:00
154,Мужской,22,Пятница,632.34,10:27:00
155,Мужской,34,Воскресенье,3711.67,09:47:00
156,Женский,77,Понедельник,1632.35,14:42:00
157,Мужской,19,Четверг,4942.66,17:55:00
158,Женский,76,Вторник,2452.53,16:02:00
159,Мужской,27,Воскресенье,656.05,14:06:00
160,Женский,43,Воскресенье,3639.67,21:53:00
161,Мужской,17,Пятница,1648.91,14:53:00
162,Мужской,49,Среда,4985.54,13:08:00
163,Женский,51,Четверг,4899.92,21:21:00
164,Женский,50,Пятница,3297.86,21:54:00
165,Женский,15,Понедельник,692.64,10:13:00
166,Мужской,61,Понедельник,3449.96,19:58:00
167,Женский,35,Понедельник,510.5,12:42:00
168,Мужской,73,Понедельник,195.35,20:57:00
169,Мужской,68,Среда,4123.64,09:12:00
170,Женский,65,Четверг,1088.28,16:00:00
171,Женский,68,Суббота,1926.18,13:51:00
172,Мужской,79,Вторник,4868.61,17:19:00
173,Мужской,42,Среда,1717.36,13:25:00
174,Женский,62,Среда,1517.62,20:24:00
175,Женский,31,Суббота,4595.13,15:22:00
176,Женский,30,Суббота,598.2,09:39:00
177,Мужской,79,Вторник,3809.93,08:58:00
178,Мужской,79,Вторник,4940.92,16:27:00
179,Мужской,13,Суббота,4511.42,12:17:00
180,Мужской,71,Понедельник,3275.76,14:52:00
