ID,Пол,Возраст,День недели,Потраченная сумма,Время покупки
1,Мужской,37,Воскресенье,1658.72,10:14:00
2,Женский,14,Среда,351.35,14:03:00
3,Женский,40,Четверг,1078.59,11:10:00
4,Женский,44,Вторник,1209.01,10:47:00
5,Мужской,43,Пятница,1584.22,16:40:00
6,Мужской,51,Среда,196.56,18:20:00
7,Мужской,47,Среда,936.65,10:16:00
8,Женский,41,Пятница,1225.64,10:33:00
9,Женский,33,Понедельник,1560.04,16:27:00
10,Женский,10,Понедельник,254.05,17:28:00
11,Мужской,41,Среда,181.72,12:31:00
12,Женский,38,Понедельник,1369.86,12:22:00
13,Женский,39,Вторник,762.32,20:10:00
14,Мужской,15,Среда,50.0,19:07:00
15,Мужской,18,Суббота,347.83,15:08:00
16,Мужской,50,Пятница,1207.74,12:06:00
17,Мужской,34,Пятница,677.63,14:20:00
18,Женский,45,Среда,97.22,09:18:00
19,Мужской,35,Воскресенье,1448.53,20:57:00
20,Мужской,35,Четверг,1637.44,20:22:00
21,Женский,49,Понедельник,1605.76,18:04:00
22,Мужской,27,Пятница,271.16,18:44:00
23,Мужской,36,Вторник,919.25,20:20:00
24,Мужской,28,Среда,856.74,15:29:00
25,Мужской,28,Пятница,1159.4,13:08:00
26,Женский,30,Воскресенье,1234.17,11:34:00
27,Мужской,38,Четверг,692.91,20:16:00
28,Женский,27,Суббота,881.0,10:07:00
29,Женский,53,Воскресенье,1588.64,09:06:00
30,Мужской,21,Вторник,1447.91,18:15:00
31,Женский,32,Среда,1292.25,13:10:00
32,Мужской,28,Четверг,1254.53,16:05:00
33,Мужской,56,Четверг,1461.91,16:40:00
34,Женский,37,Четверг,1745.23,11:56:00
35,Женский,50,Воскресенье,1504.88,12:26:00
36,Женский,12,Суббота,109.46,15:38:00
37,Мужской,39,Пятница,1781.68,18:04:00
38,Мужской,48,Среда,1608.95,16:28:00
39,Женский,36,Суббота,798.48,14:57:00
40,Мужской,50,Воскресенье,1060.25,10:43:00
41,Мужской,27,Суббота,988.29,16:15:00
42,Женский,56,Понедельник,1651.59,18:52:00
43,Мужской,69,Пятница,1778.65,12:27:00
44,Женский,29,Понедельник,1035.65,19:08:00
45,Мужской,28,Среда,1709.98,11:13:00
46,Женский,56,Понедельник,1955.77,16:27:00
47,Мужской,58,Пятница,1555.32,09:12:00
48,Женский,27,Пятница,1310.66,15:07:00
49,Женский,28,Вторник,343.74,13:18:00
50,Мужской,30,Четверг,1098.96,12:09:00
